accuracy,precision,recall,f1,roc_auc,positive_rate,actual_event_rate,model,test_year,best_threshold,train_rows,val_rows,test_rows
0.939249553305539,0.5462012320328542,0.8866666666666667,0.6759847522236341,0.9761002779559547,0.11602144133412745,0.0714711137581894,logistic,2021,0.52,33580,8418,8395
0.9325789160214414,0.691320293398533,0.9488255033557047,0.7998585572842999,0.9843834876780462,0.19487790351399642,0.14198927933293626,logistic,2022,0.48,41975,8395,8395
0.9338892197736748,0.37543053960964407,0.9674556213017751,0.5409429280397022,0.9819477788802122,0.10375223347230494,0.04026206075044669,logistic,2023,0.44,50370,8395,8395
0.9509384651936327,0.7213230119634061,0.9836852207293666,0.832318311002842,0.9928399051132271,0.16880494179139938,0.12378237110952721,logistic,2024,0.36,58765,8395,8418
0.9354992833253702,0.5780201342281879,0.9490358126721763,0.7184567257559958,0.9833728938014007,0.14237935977066413,0.08671763019589107,logistic,2025,0.52,67183,8418,8372
0.9393686718284693,0.5456369107321966,0.9066666666666666,0.6812773951158422,0.9822985888389993,0.11876116736152471,0.0714711137581894,random_forest,2021,0.4,33580,8418,8395
0.9558070279928529,0.7829083390764989,0.9530201342281879,0.8596292092319334,0.9906768898492144,0.17284097677188803,0.14198927933293626,random_forest,2022,0.52,41975,8395,8395
0.9667659321024419,0.5535390199637024,0.9023668639053254,0.6861642294713161,0.9881711885654946,0.06563430613460393,0.04026206075044669,random_forest,2023,0.52,50370,8395,8395
0.970064148253742,0.823240589198036,0.9654510556621881,0.8886925795053003,0.9939554700413438,0.14516512235685436,0.12378237110952721,random_forest,2024,0.32,58765,8395,8418
0.945054945054945,0.6156521739130435,0.9752066115702479,0.7547974413646056,0.9863777599551504,0.13736263736263737,0.08671763019589107,random_forest,2025,0.28,67183,8418,8372
0.955092316855271,0.6358099878197321,0.87,0.7346938775510204,0.9829658969424845,0.09779630732578916,0.0714711137581894,grad_boost,2021,0.28,33580,8418,8395
0.9562835020845741,0.7866574009728978,0.9496644295302014,0.8605093120486507,0.9910929753355938,0.17141155449672424,0.14198927933293626,grad_boost,2022,0.2,41975,8395,8395
0.9630732578916021,0.524390243902439,0.8905325443786982,0.6600877192982456,0.9863610458912203,0.06837403216200119,0.04026206075044669,grad_boost,2023,0.2,50370,8395,8395
0.9733903540033262,0.8638790035587188,0.9318618042226487,0.8965835641735919,0.9940149304066517,0.13352340223330958,0.12378237110952721,grad_boost,2024,0.24,58765,8395,8418
0.9566411849020545,0.6892596454640251,0.9104683195592287,0.7845697329376855,0.9866623935596422,0.11454849498327759,0.08671763019589107,grad_boost,2025,0.2,67183,8418,8372
0.941155449672424,0.5535353535353535,0.9133333333333333,0.6893081761006289,0.9838129142612786,0.1179273377010125,0.0714711137581894,ensemble_lgrfgb,2021,0.32,33580,8418,8395
0.9591423466349017,0.8132841328413284,0.924496644295302,0.8653317628582646,0.9913024448239781,0.16140559857057774,0.14198927933293626,ensemble_lgrfgb,2022,0.48,41975,8395,8395
0.9556879094699225,0.4746268656716418,0.9408284023668639,0.6309523809523809,0.9877742387265879,0.07980941036331149,0.04026206075044669,ensemble_lgrfgb,2023,0.32,50370,8395,8395
0.9725588025659302,0.8427726120033813,0.9568138195777351,0.8961797752808989,0.9944583459973937,0.14053219291993346,0.12378237110952721,ensemble_lgrfgb,2024,0.36,58765,8395,8418
0.9521022455805065,0.6582278481012658,0.931129476584022,0.7712492869366799,0.9870378216810101,0.12267080745341614,0.08671763019589107,ensemble_lgrfgb,2025,0.36,67183,8418,8372
