threshold,val_precision,val_recall,val_f1
0.85,0.69921875,0.7521008403361344,0.7246963562753036
0.86,0.701195219123506,0.7394957983193278,0.7198364008179959
0.87,0.7112970711297071,0.7142857142857143,0.7127882599580713
0.84,0.6678966789667896,0.7605042016806722,0.7111984282907662
0.83,0.658273381294964,0.7689075630252101,0.7093023255813954
0.82,0.6514084507042254,0.7773109243697479,0.7088122605363985
0.8,0.6333333333333333,0.7983193277310925,0.7063197026022305
0.78,0.6144200626959248,0.8235294117647058,0.703770197486535
0.81,0.6391752577319587,0.7815126050420168,0.7032136105860114
0.79,0.6205787781350482,0.8109243697478992,0.7030965391621129
0.88,0.7180616740088106,0.6848739495798319,0.7010752688172043
0.91,0.7611940298507462,0.6428571428571429,0.6970387243735763
0.77,0.5969696969696969,0.8277310924369747,0.6936619718309859
0.89,0.7194570135746606,0.6680672268907563,0.6928104575163399
0.9,0.7345971563981043,0.6512605042016807,0.6904231625835189
0.76,0.5880597014925373,0.8277310924369747,0.68760907504363
0.92,0.7643979057591623,0.6134453781512605,0.6806526806526807
0.75,0.5739130434782609,0.8319327731092437,0.6792452830188679
0.74,0.5621468926553672,0.8361344537815126,0.6722972972972973
0.73,0.5552486187845304,0.8445378151260504,0.67
0.72,0.5471698113207547,0.8529411764705882,0.6666666666666666
0.93,0.7621621621621621,0.592436974789916,0.6666666666666666
0.71,0.5398936170212766,0.8529411764705882,0.6612377850162866
0.7,0.5354330708661418,0.8571428571428571,0.6591276252019386
0.69,0.5282051282051282,0.865546218487395,0.6560509554140127
0.68,0.5226130653266332,0.8739495798319328,0.6540880503144654
0.94,0.7640449438202247,0.5714285714285714,0.6538461538461539
0.67,0.5147783251231527,0.8781512605042017,0.6490683229813664
0.66,0.5048309178743962,0.8781512605042017,0.6411042944785276
0.95,0.7724550898203593,0.542016806722689,0.6370370370370371
0.65,0.4988066825775656,0.8781512605042017,0.6362252663622526
0.64,0.4894613583138173,0.8781512605042017,0.6285714285714286
0.63,0.4861111111111111,0.8823529411764706,0.6268656716417911
0.62,0.4819004524886878,0.8949579831932774,0.6264705882352941
0.61,0.4766146993318486,0.8991596638655462,0.6229985443959243
0.6,0.4703296703296703,0.8991596638655462,0.6176046176046176
0.59,0.4625267665952891,0.907563025210084,0.6127659574468085
0.58,0.453027139874739,0.9117647058823529,0.6052998605299861
0.57,0.44672131147540983,0.9159663865546218,0.6005509641873278
0.56,0.44308943089430897,0.9159663865546218,0.5972602739726027
0.55,0.4351297405189621,0.9159663865546218,0.5899864682002707
0.54,0.4311023622047244,0.9201680672268907,0.5871313672922251
0.53,0.42441860465116277,0.9201680672268907,0.5809018567639257
0.52,0.41954022988505746,0.9201680672268907,0.5763157894736842
0.51,0.41320754716981134,0.9201680672268907,0.5703125
0.5,0.4036697247706422,0.9243697478991597,0.561941251596424
