district,latitude,longitude
Ajmer,26.45,74.64
Alwar,27.56,76.61
Banswara,23.55,74.44
Barmer,25.75,71.38
Bhilwara,25.35,74.64
Bikaner,28.02,73.31
Bundi,25.44,75.64
Chittaurgarh,24.89,74.63
Churu,28.3,74.96
Dhaulpur,26.7,77.89
Ganganagar,29.91,73.88
Hanumangarh,29.58,74.33
Jaipur,26.91,75.79
Jaisalmer,26.91,70.91
Jhalawar,24.59,76.16
Jodhpur,26.24,73.02
Kota,25.21,75.86
Nagaur,27.2,73.74
Pali,25.77,73.33
Sawai Madhopur,26.02,76.35
Sikar,27.61,75.14
Sirohi,24.89,72.86
Udaipur,24.58,73.68
